Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,feeling,place,,,,von
83,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주김녕미로공원,0.000234,0.999,0.0000334,0
84,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 에코랜드,0.000487,0.999,0.000134,0
85,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 테디베어박물관,0.0055,0.993,0.000675,1
86,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 아쿠아플라넷,0.00425,0.995,0.000228,0
87,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 수월봉 지질트레일,0.236,0.747,0.015,0
88,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 오설록티뮤지엄,0.999,0.000225,0.000341,0
89,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주유리의성,0.00459,0.995,0.000208,0
90,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주더마파크,0.00121,0.998,0.0000736,0
91,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 성산일출봉,0.00000483,0.0000046,0.999,1
92,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 사려니숲길,0.0000656,0.000139,0.997,1
93,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 협재 해수욕장,0.0000523,0.000139,0.998,1
94,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 월정리 해변,0.00028,0.000482,0.992,1
95,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 함덕 해수욕장,0.00361,0.0464,0.949,1
96,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 산굼부리,0.0000162,0.0000391,0.99,0
